timestamp,name,user_id,bar,bar_id,flow_rate,guest_estimate
2025-01-17 23:57:23,Sophia Ward,545,The Green Line Pub,566,8,16
2025-01-17 23:43:41,Tyler Jones,324,Beacon Brews,564,7,86
2025-01-17 23:42:55,Olivia Green,461,Cobblestone & Co.,571,22,27
2025-01-17 23:38:50,Zoe Taylor,241,Beacon Brews,564,7,71
2025-01-17 23:35:48,Mila Ramirez,74,Harbor & Hops,563,29,38
2025-01-17 23:35:32,Ella Adams,502,Charles River Brew House,570,40,74
2025-01-17 23:22:18,Ella Adams,502,Beacon Brews,564,7,4
2025-01-17 22:55:44,Zachary White,437,Southie Spirits,568,34,22
2025-01-17 22:41:55,John Alexander,277,Back Bay Barrel,567,40,97
2025-01-17 22:41:29,Zachary Bennett,211,Charles River Brew House,570,40,73
2025-01-17 22:35:43,Caleb Carter,182,Fenway Tavern,565,13,26
2025-01-17 22:28:00,Logan Morris,97,Beacon Brews,564,7,69
2025-01-17 22:19:37,Grace Lewis,412,Fenway Tavern,565,13,16
2025-01-17 22:11:21,Ella Clark,425,Charles River Brew House,570,40,91
2025-01-17 22:07:35,Liam Harris,441,The Freedom Taproom,569,36,52
2025-01-17 21:58:36,Benjamin Russell,548,The Bostonian Barrel,572,31,11
2025-01-17 21:56:36,Alexander Brown,369,Harbor & Hops,563,29,67
2025-01-17 21:54:44,Sophie Clark,217,Fenway Tavern,565,13,64
2025-01-17 21:51:27,Charlotte Green,492,Fenway Tavern,565,13,68
2025-01-17 21:51:06,Ethan Taylor,513,Back Bay Barrel,567,40,39
2025-01-17 21:49:03,Madison Harris,159,The Freedom Taproom,569,36,92
2025-01-17 21:48:23,Olivia Cooper,342,Fenway Tavern,565,13,2
2025-01-17 21:38:00,Nathan Russell,35,The Freedom Taproom,569,36,93
2025-01-17 21:37:13,Alexis Thompson,322,Cobblestone & Co.,571,22,35
2025-01-17 21:29:29,Jackson Phillips,469,Beacon Brews,564,7,5
2025-01-17 21:26:56,Michael Lee,117,Back Bay Barrel,567,40,1
2025-01-17 21:23:55,Daniel Foster,511,Southie Spirits,568,34,74
